id, !, !=, #, &&, (, ), *, +, comma, -, /, ;, <, <=, =, ==, >, >=, UFLOAT, UINT, do, double, id, if, int, printf, scanf, then, while, {, ||, }, ANDITEM, ASSIGN, B, BANDTERM, BFACTOR, BORTERM, EXPR, FACTOR, ID, ITEM, L, M, MUL_DIV, N, NOITEM, ORITEM, PLUS_MINUS, PRINTF, PRINTF_BEGIN, PROG, REL, RELITEM, S', SCANF, SCANF_BEGIN, STATEMENT, SUBPROG, T, VARIABLE, VARIABLES
98, , , , , , r63 , , , r63 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
99, , , , , , r61 , , , r61 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
100, s100 , , , , s101 , , , , , , , , , , , , , , s107 , s108 , , , s109 , , , , , , , , , , , , , 160 , 104 , , , , 106 , , , , , , , , , , , , , , , , , , , , , 
101, s78 , , , , s79 , , , , , , , , , , , , , , s85 , s86 , , , s87 , , , , , , , , , , , , 161 , 81 , 82 , 83 , , , 84 , , , , , , , , , , , , , , , , , , , , , 
102, , , , , , , , , , , , , , , , , , , , , s162 , , , , , , , , , , s163 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
103, , , , r41 , , , , , , , , , , , , , , , , , r41 , , , , , , , , , , r41 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
104, , s90 , , r45 , , , , , , , , , s91 , s92 , , s93 , s94 , s95 , , , r45 , , , , , , , , , , r45 , , , , , , , , , , , , , , , , , , , , , , 164 , , , , , , , , , 
105, , , , s165 , , , , , , , , , , , , , , , , , r39 , , , , , , , , , , r39 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
106, , r48 , , r48 , , , , , , , , , r48 , r48 , , r48 , r48 , r48 , , , r48 , , , , , , , , , , r48 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
107, , r47 , , r47 , , , , , , , , , r47 , r47 , , r47 , r47 , r47 , , , r47 , , , , , , , , , , r47 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
108, , r46 , , r46 , , , , , , , , , r46 , r46 , , r46 , r46 , r46 , , , r46 , , , , , , , , , , r46 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
109, , r8 , , r8 , , , , , , , , , r8 , r8 , , r8 , r8 , r8 , , , r8 , , , , , , , , , , r8 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
